融科瑷骊山	18000 元/平方米	之江国家旅游度假区象山路西
德信大家钱江府	24000 元/平方米	江干钱江新城板块，北临艮山路，西临东宁路，东临御云路，南临备塘河
德信早安	6300 元/平方米	余杭中泰乡中泰路与商留北路交界处
大家运河之星	12000 元/平方米	拱墅丽水北路与郁世门路交叉口
华润新鸿基天峦	1200 万元/套	之江之江路与碧波路交叉口
德信浙旅?东宸	26000 元/平方米	江干环站东路与天城路交叉口
大华西溪风情悦宫	800 万元/套	余杭文一西路833号，淘宝城东侧
贺田尚城?湾	18000 元/平方米	滨江一桥南六和路与新和路交叉口(六和路365号)
金成江南春城竹海水韵	9000 元/平方米	余杭天目山路延伸段至留下往西6公里（天目山西路路边竹海水韵）
新湖香格里拉	220 万元/套	余杭东西大道（良渚西南大观山果园农场腹地）
绿城桃花源	2300 万元/套	余杭凤凰山南麓，距杭州市中心18公里
集美岸上蓝山	8000 元/平方米	余杭和睦路往南200米（02省道和睦路交叉口，02省道和睦路口站附近）
杭州阳明谷	2000 万元/套	之江之江度假区常陇路6号
理想康城国际	9800 元/平方米	余杭世纪大道676号（水景公园旁边）
翡翠城	15000 元/平方米	余杭西溪湿地以西约2公里（高教路、五常大道交汇处）
锦绣钱塘	400 万元/套	临安西郊国家森林公园旁
绿野春天翠谷幽兰	9000 元/平方米	余杭小和山高教园区留和路延伸段边上（小和山和石马村公交站附近）
绿城蓝庭花园洋房	13000 元/平方米	余杭星河路（星河路与320国道交叉口，车管所往北500米）
新明半岛	280 万元/套	余杭闲林镇02省道南侧新明大道（天目山西路与新明大道交叉口）
绿城西子青山湖玫瑰园	300 万元/套	临安青山湖街道（石临公路南侧）
坤和和家园	460 万元/套	西湖西溪路南侧西穆坞（原中国人民解放军73021部队营房驻地）
北湖绿洲花园	6300 元/平方米	余杭瓶窑镇瓶仓大道东侧、羊城大道北
公元沐桥	35000 元/平方米	之江国家旅游度假区内，宋城景区南面
永安圆乡名筑	10000 元/平方米	余杭凤新路199号（大禹治水城标西面150处）
新帝朗郡	13000 元/平方米	之江象山路（西湖国际高尔夫球场南侧80米）
宋都阳光国际	368 万元/套	江干钱江新城沿江大道与通盛路交汇处
东海闲湖城	10000 元/平方米	余杭天目山西路以南民丰村内（东海闲湖城公交站旁边）
东海柠檬郡	11500 元/平方米	下沙艮山东路（艮山东路以南，幸福南路以东）
广宇上东城	12000 元/平方米	江干丁桥紫丁香街150号（物美正对面）
莱德绅华府	29000 元/平方米	拱墅益乐路与丰登街交叉口
星星港湾十二岛	10000 元/平方米	下沙连杭经济区启潮路（锦带湾广场后面）
逸居城	10000 元/平方米	余杭勾庄逸盛路44号（物流中心内)
西溪天堂悦居	32800 元/平方米	西湖紫金港路（天目山路口、西溪国家湿地公园东南角）
恒和依山郡	7000 元/平方米	余杭径山镇新207省道西侧
同人山庄	260 万元/套	临安青山湖区块（青山湖北侧）
金隅观澜时代	10000 元/平方米	下沙24号大街与19号大街交汇处
广和美地兰庭	6000 元/平方米	余杭仁和镇东西大道东侧（仁和大道与东西大道交接处往西500米）
百家乐西园	16000 元/平方米	余杭文二西路延伸段（文二西路与荆常大道交叉口往南约500米）
恒厚阳光城	7000 元/平方米	余杭中泰乡杭泰路103号
新湖果岭	10000 元/平方米	余杭文一西路延伸段（文一西路和东西大道交叉口南侧）
星桥桂花城	7000 元/平方米	余杭临平藕花洲大道星桥段（太平村公交站附近）
远洋杭州大运河商务区	17000 元/平方米	拱墅丽水路101号（南临大关路）
盛泰名都中心	13500 元/平方米	下沙四号大街五号路口（下沙物美大卖场对面）
滨江万家星城	21000 元/平方米	下城东新路与石祥路交汇处，公交站重机厂站边
